actually,実際に、現に、実は
approve,～を承認する、～に賛成する
depend,頼る、次第である
introduce,～を導入する、～を紹介する
borrow,～を借りる
cause,～を引き起こす、原因
lead,至る、～を導く
hang,掛かる、～をつるす
overlook,～を見渡せる、～を見落とす
sweep,～を掃く、～を一掃する
pile,～を積み重ねる、積み重なる
dig,～を掘る
confuse,～を混乱させる、～を困惑させる
tidy,～をきちんと片付ける
insist,～であることを主張する
mention,～に言及する
detail,～を詳しく述べる、詳細
express,表現する、急行の
offer,～を申し出る、～を提供する
suspect,～を疑う、容疑者
consider,～をよく考える
maintain,～を維持する、～と主張する
prepare,～を準備する
afford,～を持つ余裕がある、～を与える
reduce,～を減少させる
decline,減少する、低下
refuse,～を拒否する、～を断る
reject,～を拒絶する
occur,起こる、心にふと浮かぶ
contain,～を含む
